scenario,region,carrier,capacity_MW
M0,FRE,solar,9000
M0,FRD,solar,5000
M0,FRH,solar,11000
M0,FRG,solar,12000
M0,FRB,solar,9000
M0,FR1,solar,21000
M0,FRF,solar,11000
M0,FRC,solar,14000
M0,FRI,solar,31000
M0,FRK,solar,28000
M0,FRJ,solar,23000
M0,FRL,solar,35000
M1,FRE,solar,24000
M1,FRD,solar,7000
M1,FRH,solar,11000
M1,FRG,solar,12000
M1,FRB,solar,9000
M1,FR1,solar,18000
M1,FRF,solar,12000
M1,FRC,solar,13000
M1,FRI,solar,27000
M1,FRK,solar,33000
M1,FRJ,solar,20000
M1,FRL,solar,27000
M23,FRE,solar,5000
M23,FRD,solar,4000
M23,FRH,solar,6000
M23,FRG,solar,7000
M23,FRB,solar,5000
M23,FR1,solar,13000
M23,FRF,solar,6000
M23,FRC,solar,8000
M23,FRI,solar,19000
M23,FRK,solar,16000
M23,FRJ,solar,14000
M23,FRL,solar,22000
N2,FRE,solar,3000
N2,FRD,solar,1000
N2,FRH,solar,4000
N2,FRG,solar,6000
N2,FRB,solar,4000
N2,FR1,solar,8000
N2,FRF,solar,5000
N2,FRC,solar,6000
N2,FRI,solar,14000
N2,FRK,solar,13000
N2,FRJ,solar,10000
N2,FRL,solar,16000
N03,FRE,solar,2000
N03,FRD,solar,1000
N03,FRH,solar,3000
N03,FRG,solar,4000
N03,FRB,solar,3000
N03,FR1,solar,7000
N03,FRF,solar,3000
N03,FRC,solar,5000
N03,FRI,solar,11000
N03,FRK,solar,9000
N03,FRJ,solar,8000
N03,FRL,solar,13000
M0,FRE,onwind,9000
M0,FRD,onwind,4000
M0,FRH,onwind,5000
M0,FRG,onwind,5000
M0,FRB,onwind,7000
M0,FR1,onwind,2000
M0,FRF,onwind,13000
M0,FRC,onwind,7000
M0,FRI,onwind,9000
M0,FRK,onwind,4000
M0,FRJ,onwind,9000
M0,FRL,onwind,1000
M1,FRE,onwind,6000
M1,FRD,onwind,3000
M1,FRH,onwind,5000
M1,FRG,onwind,4000
M1,FRB,onwind,5000
M1,FR1,onwind,2000
M1,FRF,onwind,9000
M1,FRC,onwind,5000
M1,FRI,onwind,8000
M1,FRK,onwind,4000
M1,FRJ,onwind,6000
M1,FRL,onwind,1000
M23,FRE,onwind,9000
M23,FRD,onwind,4000
M23,FRH,onwind,5000
M23,FRG,onwind,5000
M23,FRB,onwind,6000
M23,FR1,onwind,2000
M23,FRF,onwind,13000
M23,FRC,onwind,7000
M23,FRI,onwind,8000
M23,FRK,onwind,3000
M23,FRJ,onwind,9000
M23,FRL,onwind,1000
N2,FRE,onwind,5000
N2,FRD,onwind,2000
N2,FRH,onwind,4000
N2,FRG,onwind,4000
N2,FRB,onwind,5000
N2,FR1,onwind,2000
N2,FRF,onwind,8000
N2,FRC,onwind,4000
N2,FRI,onwind,7000
N2,FRK,onwind,4000
N2,FRJ,onwind,6000
N2,FRL,onwind,1000
N03,FRE,onwind,4000
N03,FRD,onwind,2000
N03,FRH,onwind,4000
N03,FRG,onwind,3000
N03,FRB,onwind,4000
N03,FR1,onwind,1000
N03,FRF,onwind,7000
N03,FRC,onwind,4000
N03,FRI,onwind,6000
N03,FRK,onwind,3000
N03,FRJ,onwind,5000
N03,FRL,onwind,1000
M0,FRE|FRD,offwind,21000
M0,FRH|FRG,offwind,20000
M0,FRI,offwind,6000
M0,FRJ|FRL,offwind,19000
M1,FRE|FRD,offwind,18000
M1,FRH|FRG,offwind,15000
M1,FRI,offwind,3000
M1,FRJ|FRL,offwind,16000
M23,FRE|FRD,offwind,20000
M23,FRH|FRG,offwind,19000
M23,FRI,offwind,6000
M23,FRJ|FRL,offwind,18000
N2,FRE|FRD,offwind,16000
N2,FRH|FRG,offwind,12000
N2,FRI,offwind,3000
N2,FRJ|FRL,offwind,12000
N03,FRE|FRD,offwind,12000
N03,FRH|FRG,offwind,6000
N03,FRI,offwind,2000
N03,FRJ|FRL,offwind,8000
N1,FRE,onwind,6000
N1,FRD,onwind,3000
N1,FRH,onwind,5000
N1,FRG,onwind,4000
N1,FRB,onwind,5000
N1,FR1,onwind,2000
N1,FRF,onwind,9000
N1,FRC,onwind,5000
N1,FRI,onwind,8000
N1,FRK,onwind,4000
N1,FRJ,onwind,6000
N1,FRL,onwind,1000
N1,FRE,solar,6000
N1,FRD,solar,3000
N1,FRH,solar,6000
N1,FRG,solar,6000
N1,FRB,solar,5000
N1,FR1,solar,12000
N1,FRF,solar,6000
N1,FRC,solar,8000
N1,FRI,solar,17000
N1,FRK,solar,15000
N1,FRJ,solar,13000
N1,FRL,solar,21000
N1,FRE|FRD,offwind,18000
N1,FRH|FRG,offwind,15000
N1,FRI,offwind,3000
N1,FRJ|FRL,offwind,16000
