id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
25,Chastang,hydro,Run-Of-River,Store,FR,407.4984785439482,,1951.0,,,45.1518,2.0098,,0.0,0.0,0.0,{'17W100P100P0302T'},"{'ENTSOE': {'17W100P100P0302T'}, 'GEM': {'G601650'}, 'JRC': {'JRC-H151'}, 'OPSD': {'OEU-210'}, 'GPD': {'WRI1002704'}, 'GEO': {'GEO-2638', 'GEO-39746'}}"
26,Cheylas,hydro,Pumped Storage,Store,FR,835.2528362000301,,1979.0,,,45.3865,6.0013,5.8,0.0,0.0,0.0,{'17W100P100P0273A'},"{'ENTSOE': {'17W100P100P0273A'}, 'GEM': {'G601652'}, 'JRC': {'JRC-H63'}, 'OPSD': {'OEU-198'}, 'GPD': {'WRI1002705'}, 'GEO': {'GEO-45014'}}"
28,Combe Avrieux,hydro,Reservoir,Store,FR,171.06591420104309,,1950.0,,,45.215,6.712,,0.0,0.0,0.0,{'17W100P100P02837'},"{'ENTSOE': {'17W100P100P02837'}, 'GEM': {'G601654'}, 'JRC': {'JRC-H419'}, 'OPSD': {'OEU-235'}, 'GPD': {'WRI1002710'}, 'GEO': {'GEO-39818'}}"
29,Couesque,hydro,Run-Of-River,PP,FR,165.50279504003356,,1950.0,,,44.6953,2.5825,,0.0,0.0,0.0,{'17W100P100P0313O'},"{'ENTSOE': {'17W100P100P0313O'}, 'GEM': {'G601655'}, 'JRC': {'JRC-H433'}, 'OPSD': {'OEU-211'}, 'GPD': {'WRI1002714'}, 'GEO': {'GEO-39721'}}"
51,Pouget,hydro,Reservoir,Store,FR,621.5394882637898,,1951.0,,,44.0597,2.7701,1.573033708,0.0,0.0,0.0,{'17W100P100P0290A'},"{'ENTSOE': {'17W100P100P0290A'}, 'GEM': {'G601686'}, 'JRC': {'JRC-H73'}, 'OPSD': {'OEU-242'}, 'GPD': {'WRI1002758'}, 'GEO': {'GEO-39723'}}"
52,Pied De Borne,hydro,Reservoir,Store,FR,152.1513090536107,,1965.0,,,44.4788,3.9858,,0.0,0.0,0.0,{'17W100P100P0289W'},"{'ENTSOE': {'17W100P100P0289W'}, 'GEM': {'G601684'}, 'JRC': {'JRC-H471'}, 'OPSD': {'OEU-241'}, 'GPD': {'WRI1002755'}, 'GEO': {'GEO-39800'}}"
53,Ottmarsheim,hydro,Run-Of-River,PP,FR,216.96164727937173,,1952.0,,,47.7741,7.5225,,0.0,0.0,0.0,{'17W100P100P0306L'},"{'ENTSOE': {'17W100P100P0306L'}, 'GEM': {'G601682'}, 'JRC': {'JRC-H318'}, 'OPSD': {'OEU-222'}, 'GPD': {'WRI1002751'}, 'GEO': {'GEO-39779'}}"
54,Oraison,hydro,Reservoir,Store,FR,260.0758207771956,,1962.0,,,43.9212,5.9253,,0.0,0.0,0.0,{'17W100P100P0288Y'},"{'ENTSOE': {'17W100P100P0288Y'}, 'GEM': {'G601680'}, 'JRC': {'JRC-H260'}, 'OPSD': {'OEU-240'}, 'GPD': {'WRI1002750'}, 'GEO': {'GEO-39706'}}"
55,Montpezat,hydro,Reservoir,Store,FR,183.30477635526407,,1954.0,,,43.7514,6.0888,,0.0,0.0,0.0,{'17W100B100P0287S'},"{'ENTSOE': {'17W100B100P0287S'}, 'GEM': {'G601679'}, 'JRC': {'JRC-H387'}, 'OPSD': {'OEU-239'}, 'GPD': {'WRI1002748'}, 'GEO': {'GEO-39820'}}"
56,Vouglans,hydro,Reservoir,Store,FR,396.37224022192913,,1968.0,,,46.3968,5.6634,,0.0,0.0,0.0,{'17W100P100P0301V'},"{'ENTSOE': {'17W100P100P0301V'}, 'GEM': {'G601710'}, 'JRC': {'JRC-H167'}, 'OPSD': {'OEU-253'}, 'GPD': {'WRI1002786'}, 'GEO': {'GEO-39796', 'GEO-45927'}}"
57,Monteynard,hydro,Reservoir,Store,FR,509.0254032323721,,1962.0,,,44.8722,5.7726,212.8415301,0.0,0.0,0.0,{'17W100P100P02861'},"{'ENTSOE': {'17W100P100P02861'}, 'GEM': {'G601677'}, 'JRC': {'JRC-H105'}, 'OPSD': {'OEU-238'}, 'GPD': {'WRI1002746'}, 'GEO': {'GEO-39790'}}"
58,Mareges,hydro,Run-Of-River,PP,FR,208.61696853785742,,1935.0,2018.0,,45.3917,2.3646,,0.0,0.0,0.0,{'17W100P100P0328B'},"{'ENTSOE': {'17W100P100P0328B'}, 'GEM': {'G601675'}, 'JRC': {'JRC-H328'}, 'OPSD': {'OEU-214'}, 'GPD': {'WRI1002742'}, 'GEO': {'GEO-39738'}}"
59,Marckolsheim,hydro,Run-Of-River,PP,FR,217.2398032374222,,1961.0,,,48.1537,7.5898,,0.0,0.0,0.0,{'17W100P100P0305N'},"{'ENTSOE': {'17W100P100P0305N'}, 'GEM': {'G601674'}, 'JRC': {'JRC-H316'}, 'OPSD': {'OEU-220'}, 'GPD': {'WRI1002741'}, 'GEO': {'GEO-39808'}}"
60,Malgovert,hydro,Reservoir,Store,FR,413.0615977049577,,1952.0,,,45.6178,6.791,1370.707071,0.0,0.0,0.0,{'17W100P100P02853'},"{'ENTSOE': {'17W100P100P02853'}, 'GEM': {'G601672'}, 'JRC': {'JRC-H149'}, 'OPSD': {'OEU-237'}, 'GPD': {'WRI1002740'}, 'GEO': {'GEO-39815'}}"
61,Logis Neuf,hydro,Run-Of-River,PP,FR,266.7515637704071,,1960.0,1960.0,,44.6763,4.7868,,0.0,0.0,0.0,"{'17W000001017799C', '17W100P100P0322N'}","{'ENTSOE': {'17W000001017799C', '17W100P100P0322N'}, 'GEM': {'G601671'}, 'JRC': {'JRC-H356'}, 'OPSD': {'OEU-206'}, 'GPD': {'WRI1002690'}, 'GEO': {'GEO-39759'}}"
